part_id,stim_id,response_value
92904815,4,80
92904815,5,80
92904815,2,70
92904815,3,70
92904815,1,85
92904815,6,65
31367606,4,60
31367606,6,70
31367606,5,80
31367606,3,60
31367606,2,70
31367606,1,70
34613977,2,85
34613977,1,95
34613977,5,90
34613977,3,20
34613977,4,10
34613977,6,25
24018659,5,25
24018659,4,40
24018659,6,32
24018659,1,70
24018659,2,40
24018659,3,60
12218160,3,35
12218160,6,10
12218160,5,80
12218160,1,85
12218160,2,55
12218160,4,35
34181837,6,15
34181837,3,10
34181837,1,70
34181837,5,75
34181837,4,20
34181837,2,48
15155018,1,75
15155018,6,10
15155018,3,0
15155018,4,70
15155018,2,30
15155018,5,40
87987556,1,90
87987556,4,70
87987556,2,30
87987556,3,80
87987556,5,45
87987556,6,55
28371694,1,57
28371694,3,27
28371694,4,61
28371694,2,32
28371694,6,17
28371694,5,74
42687431,2,30
42687431,4,55
42687431,5,40
42687431,1,75
42687431,6,45
42687431,3,60
93404764,3,35
93404764,2,70
93404764,6,55
93404764,4,85
93404764,1,75
93404764,5,80
11876128,2,33
11876128,4,7
11876128,1,94
11876128,5,65
11876128,6,56
11876128,3,45
82222464,6,40
82222464,2,32
82222464,4,57
82222464,3,25
82222464,1,71
82222464,5,76
82396610,4,24
82396610,1,81
82396610,6,20
82396610,2,84
82396610,3,39
82396610,5,56
80623916,1,90
80623916,3,25
80623916,4,70
80623916,6,25
80623916,2,80
80623916,5,70
47866944,4,40
47866944,2,55
47866944,5,65
47866944,1,70
47866944,3,45
47866944,6,40
31806959,1,95
31806959,2,90
31806959,3,30
31806959,6,10
31806959,5,75
31806959,4,80
81382564,5,32
81382564,6,67
81382564,1,66
81382564,3,38
81382564,4,70
81382564,2,32
13151826,6,30
13151826,2,85
13151826,3,70
13151826,1,85
13151826,5,65
13151826,4,20
55670693,1,85
55670693,6,5
55670693,2,75
55670693,4,40
55670693,3,45
55670693,5,60
85229954,6,25
85229954,2,60
85229954,4,50
85229954,1,75
85229954,5,40
85229954,3,30
16495804,3,10
16495804,2,75
16495804,4,60
16495804,5,65
16495804,1,80
16495804,6,32
19678585,6,30
19678585,2,45
19678585,1,60
19678585,5,60
19678585,3,52
19678585,4,45
34251864,3,33
34251864,4,64
34251864,2,38
34251864,6,31
34251864,1,60
34251864,5,57
3418061,1,80
3418061,5,70
3418061,4,70
3418061,6,40
3418061,2,35
3418061,3,25
13870885,6,0
13870885,5,31
13870885,1,89
13870885,4,12
13870885,2,87
13870885,3,11
71050121,5,90
71050121,3,10
71050121,4,25
71050121,1,90
71050121,2,65
71050121,6,70
95664443,1,78
95664443,3,20
95664443,5,65
95664443,2,54
95664443,4,47
95664443,6,17
16160424,4,80
16160424,2,40
16160424,3,10
16160424,5,80
16160424,1,75
16160424,6,40
87412166,5,66
87412166,4,38
87412166,2,28
87412166,3,10
87412166,1,79
87412166,6,36
54764298,1,90
54764298,6,60
54764298,4,50
54764298,5,60
54764298,3,40
54764298,2,30
13654458,2,80
13654458,4,75
13654458,6,35
13654458,5,55
13654458,1,70
13654458,3,30
51096949,4,60
51096949,3,40
51096949,5,70
51096949,2,70
51096949,6,55
51096949,1,85
97200920,4,30
97200920,5,40
97200920,3,39
97200920,2,63
97200920,6,42
97200920,1,73
43986754,2,90
43986754,5,100
43986754,6,20
43986754,4,75
43986754,1,100
43986754,3,5
83089409,3,40
83089409,1,90
83089409,2,80
83089409,5,70
83089409,4,90
83089409,6,40
28384456,3,82
28384456,6,40
28384456,5,60
28384456,2,35
28384456,1,95
28384456,4,60
24715102,4,60
24715102,1,65
24715102,2,38
24715102,5,81
24715102,3,23
24715102,6,28
5526636,2,32
5526636,5,41
5526636,6,28
5526636,4,45
5526636,3,13
5526636,1,80
54345265,3,75
54345265,2,90
54345265,1,90
54345265,6,50
54345265,5,85
54345265,4,69
74985551,2,70
74985551,5,75
74985551,6,40
74985551,4,60
74985551,1,90
74985551,3,35
59824490,6,20
59824490,2,75
59824490,5,40
59824490,1,80
59824490,3,30
59824490,4,65
55683920,4,50
55683920,5,80
55683920,1,75
55683920,6,45
55683920,3,35
55683920,2,50
83445386,2,45
83445386,3,35
83445386,6,25
83445386,4,40
83445386,1,70
83445386,5,45
19136702,6,30
19136702,3,40
19136702,2,50
19136702,5,50
19136702,1,70
19136702,4,60
15352014,4,60
15352014,6,40
15352014,5,65
15352014,2,55
15352014,1,95
15352014,3,25
97757635,4,40
97757635,2,55
97757635,3,30
97757635,5,45
97757635,1,75
97757635,6,40
67133772,5,69
67133772,6,51
67133772,4,80
67133772,2,69
67133772,1,90
67133772,3,50
59450456,4,20
59450456,6,50
59450456,1,70
59450456,2,60
59450456,5,60
59450456,3,50
204654,2,25
204654,5,35
204654,6,25
204654,1,90
204654,3,25
204654,4,35
29123682,4,18
29123682,5,20
29123682,2,60
29123682,1,88
29123682,6,5
29123682,3,5
92780072,4,67
92780072,1,92
92780072,5,86
92780072,6,28
92780072,2,54
92780072,3,6
82741456,6,70
82741456,4,80
82741456,5,61
82741456,3,50
82741456,2,47
82741456,1,80
49139541,2,80
49139541,4,80
49139541,6,80
49139541,1,50
49139541,3,50
49139541,5,50
62882995,4,32
62882995,1,90
62882995,2,95
62882995,6,17
62882995,5,82
62882995,3,11
19266501,3,60
19266501,4,70
19266501,1,82
19266501,5,85
19266501,6,65
19266501,2,55
17617269,3,25
17617269,1,65
17617269,4,60
17617269,6,55
17617269,2,75
17617269,5,65